Marca_Modelo,Precio,Km,Transmision,Combustible,URL,Anio,Marca,Modelo
Toyota 4runner 2016,38900,132000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/toyota-4runner-2016-1861788,2016,Toyota,4runner
Ford Mustang Gt 2025,56000,3000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/ford-mustang-gt-2025-1857831,2025,Ford,Mustang Gt
Hyundai H-1 2019,23000,245200,Mecánica,Dual,https://neoauto.com/auto/usado/hyundai-h-1-2019-1862626,2019,Hyundai,H-1
Mazda Cx-5 2023,23200,15000,Mecánica,Gasolina,https://neoauto.com/auto/usado/mazda-cx-5-2023-1846292,2023,Mazda,Cx-5
Honda Wr-V 2018,11900,83000,Automática,Gasolina,https://neoauto.com/auto/usado/honda-wr-v-2018-1851281,2018,Honda,Wr-V
Subaru Outback 2016,16500,74000,Automática,Gasolina,https://neoauto.com/auto/usado/subaru-outback-2016-1862281,2016,Subaru,Outback
Toyota Highlander 2013,18000,109000,Automática - Secuencial,Dual,https://neoauto.com/auto/usado/toyota-highlander-2013-1861225,2013,Toyota,Highlander
Lexus Rx 350 2015,20500,108000,Automática,Gasolina,https://neoauto.com/auto/usado/lexus-rx-350-2015-1862284,2015,Lexus,Rx 350
Haval All New H6 2022,20000,31500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/haval-all-new-h6-2022-1861963,2022,Haval,All New H6
Mazda Cx-9 2024,34900,19968,Automática,Gasolina,https://neoauto.com/auto/usado/mazda-cx-9-2024-1860269,2024,Mazda,Cx-9
Audi A3 Sedan 2016,17900,22000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-a3-sedan-2016-1852527,2016,Audi,A3 Sedan
Bmw 330i 2022,40900,20000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-330i-2022-1864034,2022,Bmw,330i
Hyundai Santa Fe 2023,33900,41805,Automática,Gasolina,https://neoauto.com/auto/usado/hyundai-santa-fe-2023-1858932,2023,Hyundai,Santa Fe
Land Rover Evoque 2015,23000,62500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/land-rover-evoque-2015-1858201,2015,Land,Rover Evoque
Jeep Cherokee 2019,19900,66500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/jeep-cherokee-2019-1863209,2019,Jeep,Cherokee
Volvo Xc-60 2017,17500,120000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/volvo-xc-60-2017-1863382,2017,Volvo,Xc-60
Jaguar F-Pace 2017,49990,9313,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/jaguar-f-pace-2017-1823960,2017,Jaguar,F-Pace
Audi Q5 2018,24500,83000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-q5-2018-1863421,2018,Audi,Q5
Mercedes Benz Ml 350 2013,23900,83494,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-ml-350-2013-1860713,2013,Mercedes,Benz Ml 350
Mercedes Benz Glc 250 4matic 2020,28500,50000,Automática,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-glc-250-4matic-2020-1861748,2020,Mercedes,Benz Glc 250 4matic
Toyota Ae-86 1984,12500,3000,Mecánica,Gasolina,https://neoauto.com/auto/usado/toyota-ae-86-1984-1859356,1984,Toyota,Ae-86
Chevrolet Corvette 2026,149000,0,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/chevrolet-corvette-2026-1857384,2026,Chevrolet,Corvette
Bmw X2 20i 2019,27900,40000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-x2-20i-2019-1863813,2019,Bmw,X2 20i
Mini Cooper 2014,13900,41090,Automática,Gasolina,https://neoauto.com/auto/usado/mini-cooper-2014-1863872,2014,Mini,Cooper
Subaru Impreza Wrx 2019,22000,73200,Mecánica,Gasolina,https://neoauto.com/auto/usado/subaru-impreza-wrx-2019-1856558,2019,Subaru,Impreza Wrx
Volvo S60 2018,21900,36036,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/volvo-s60-2018-1863470,2018,Volvo,S60
Volvo Xc-60 2023,55900,15000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/volvo-xc-60-2023-1863816,2023,Volvo,Xc-60
Hyundai Veloster 2014,13500,163000,Mecánica,Gas GLP,https://neoauto.com/auto/usado/hyundai-veloster-2014-1863159,2014,Hyundai,Veloster
Byd S6 2014,7800,103700,Mecánica,Gasolina,https://neoauto.com/auto/usado/byd-s6-2014-1858281,2014,Byd,S6
Honda Odyssey 2020,25900,72000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/honda-odyssey-2020-1839887,2020,Honda,Odyssey
Mitsubishi Montero Sport 2019,38000,45000,Automática - Secuencial,Diesel,https://neoauto.com/auto/usado/mitsubishi-montero-sport-2019-1861335,2019,Mitsubishi,Montero Sport
Kia Niro 2024,28900,4000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/kia-niro-2024-1863814,2024,Kia,Niro
Bmw X3 28i 2016,19000,113000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-x3-28i-2016-1861678,2016,Bmw,X3 28i
Audi A4 2006,7700,137000,Automática,Gasolina,https://neoauto.com/auto/usado/audi-a4-2006-1862582,2006,Audi,A4
Audi A4 2017,21500,44000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-a4-2017-1850385,2017,Audi,A4
Bmw X3 20i 2021,38000,66800,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-x3-20i-2021-1860319,2021,Bmw,X3 20i
Mercedes Benz Glc 250 4matic 2019,27300,62,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-glc-250-4matic-2019-1826605,2019,Mercedes,Benz Glc 250 4matic
Audi A3 Sedan 2019,20500,61800,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-a3-sedan-2019-1856778,2019,Audi,A3 Sedan
Hyundai Accent 2024,16800,35,Automática,Gas GLP,https://neoauto.com/auto/usado/hyundai-accent-2024-1851421,2024,Hyundai,Accent
Peugeot 308 2013,19900,12710,Mecánica,Gasolina,https://neoauto.com/auto/usado/peugeot-308-2013-1863943,2013,Peugeot,308
Mercedes Benz Gle 400 4matic 2016,29300,75800,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-gle-400-4matic-2016-1863882,2016,Mercedes,Benz Gle 400 4matic
Audi Q3 2018,20950,68500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-q3-2018-1858064,2018,Audi,Q3
Mazda Cx-3 2023,22500,13000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mazda-cx-3-2023-1863906,2023,Mazda,Cx-3
Kia Sorento 2021,29900,36700,Automática,Gasolina,https://neoauto.com/auto/usado/kia-sorento-2021-1863079,2021,Kia,Sorento
Audi A3 Sedan 2018,22500,43500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-a3-sedan-2018-1849671,2018,Audi,A3 Sedan
Peugeot 3008 2022,22000,65000,Automática,Gasolina,https://neoauto.com/auto/usado/peugeot-3008-2022-1834323,2022,Peugeot,3008
Jeep Renegade 2018,15700,55,Mecánica,Gasolina,https://neoauto.com/auto/usado/jeep-renegade-2018-1853144,2018,Jeep,Renegade
Audi A3 Sedan 2018,19200,55000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-a3-sedan-2018-1860907,2018,Audi,A3 Sedan
Volkswagen Amarok 2016,19500,256000,Automática,Diesel,https://neoauto.com/auto/usado/volkswagen-amarok-2016-1857610,2016,Volkswagen,Amarok
Jaguar Xe 2017,17900,53000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/jaguar-xe-2017-1864040,2017,Jaguar,Xe
Audi Q5 2017,25500,46500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-q5-2017-1817724,2017,Audi,Q5
Bmw 530i 2017,23900,54900,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-530i-2017-1860937,2017,Bmw,530i
Volvo V40 2017,15400,51000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/volvo-v40-2017-1862360,2017,Volvo,V40
Mercedes Benz C63 Amg S 2017,59900,42300,Automática,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-c63-amg-s-2017-1860375,2017,Mercedes,Benz C63 Amg S
Mercedes Benz C-180 2018,19500,69000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-c-180-2018-1861495,2018,Mercedes,Benz C-180
Bmw 120i 2017,14700,91000,Mecánica,Gasolina,https://neoauto.com/auto/usado/bmw-120i-2017-1858462,2017,Bmw,120i
Chevrolet Onix 2023,12800,27000,Mecánica,Gasolina,https://neoauto.com/auto/usado/chevrolet-onix-2023-1855532,2023,Chevrolet,Onix
Bmw I5 2024,79000,52000,Automática - Secuencial,Eléctrico,https://neoauto.com/auto/usado/bmw-i5-2024-1863594,2024,Bmw,I5
Bmw X5 2013,17000,92000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-x5-2013-1861754,2013,Bmw,X5
Honda Pilot 2022,35000,61000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/honda-pilot-2022-1847465,2022,Honda,Pilot
Land Rover Range Rover Sport 2019,59900,47129,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/land-rover-range-rover-sport-2019-1843664,2019,Land,Rover Range Rover Sport
Ford Explorer 2025,57900,3200,Automática,Gasolina,https://neoauto.com/auto/usado/ford-explorer-2025-1861519,2025,Ford,Explorer
Jeep Grand Cherokee Laredo 2016,20500,78000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/jeep-grand-cherokee-laredo-2016-1845224,2016,Jeep,Grand Cherokee Laredo
Volkswagen Teramont 2022,36900,77313,Automática,Gasolina,https://neoauto.com/auto/usado/volkswagen-teramont-2022-1859889,2022,Volkswagen,Teramont
Jeep Grand Cherokee Laredo 2018,22200,79800,Automática,Gasolina,https://neoauto.com/auto/usado/jeep-grand-cherokee-laredo-2018-1845857,2018,Jeep,Grand Cherokee Laredo
Jeep Cherokee Longitude 2019,16800,48000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/jeep-cherokee-longitude-2019-1861670,2019,Jeep,Cherokee Longitude
Mercedes Benz Gle 63 S Amg 2017,59900,55724,Automática,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-gle-63-s-amg-2017-1860382,2017,Mercedes,Benz Gle 63 S Amg
Maserati Levante 2019,85900,7806,Automática,Gasolina,https://neoauto.com/auto/usado/maserati-levante-2019-1859886,2019,Maserati,Levante
Honda Cr-V 2017,18000,72400,Automática,Gasolina,https://neoauto.com/auto/usado/honda-cr-v-2017-1863957,2017,Honda,Cr-V
Ford Expedition 2021,49900,46316,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/ford-expedition-2021-1862861,2021,Ford,Expedition
Ford F-150 Raptor 2018,51000,33000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/ford-f-150-raptor-2018-1845647,2018,Ford,F-150 Raptor
Mitsubishi Montero Sport 2024,45000,33000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mitsubishi-montero-sport-2024-1863631,2024,Mitsubishi,Montero Sport
Subaru Impreza 2023,19000,25000,Automática,Gasolina,https://neoauto.com/auto/usado/subaru-impreza-2023-1862066,2023,Subaru,Impreza
Bmw X2 20i 2021,33500,45000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-x2-20i-2021-1857231,2021,Bmw,X2 20i
Bmw X4 20i 2017,24900,90000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-x4-20i-2017-1863223,2017,Bmw,X4 20i
Mercedes Benz A45 Amg 2022,69990,11900,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-a45-amg-2022-1857899,2022,Mercedes,Benz A45 Amg
Volkswagen Tiguan Allspace 2018,16800,78043,Automática,Gasolina,https://neoauto.com/auto/usado/volkswagen-tiguan-allspace-2018-1863772,2018,Volkswagen,Tiguan Allspace
Mazda Bt-50 2022,22500,113000,Mecánica,Diesel,https://neoauto.com/auto/usado/mazda-bt-50-2022-1856309,2022,Mazda,Bt-50
Citroen Ds-3 2018,13900,38554,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/citroen-ds-3-2018-1855338,2018,Citroen,Ds-3
Mercedes Benz Cla 200 Coupe 2022,31900,56000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-cla-200-coupe-2022-1849443,2022,Mercedes,Benz Cla 200 Coupe
Jeep Compass 2013,12200,53000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/jeep-compass-2013-1848625,2013,Jeep,Compass
Bmw X4 M40i 2019,46900,49510,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-x4-m40i-2019-1858713,2019,Bmw,X4 M40i
Honda Pilot 2022,36900,46857,Automática,Gasolina,https://neoauto.com/auto/usado/honda-pilot-2022-1859875,2022,Honda,Pilot
Bmw 530i 2018,37000,20000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-530i-2018-1744146,2018,Bmw,530i
Maserati Grecale 2024,85000,9676,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/maserati-grecale-2024-1860843,2024,Maserati,Grecale
Land Rover Range Rover Velar 2018,47500,56000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/land-rover-range-rover-velar-2018-1853722,2018,Land,Rover Range Rover Velar
Bmw M6 2005,20500,86815,Automática,Gasolina,https://neoauto.com/auto/usado/bmw-m6-2005-1845072,2005,Bmw,M6
Nissan X-Trail 2019,20900,79000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/nissan-x-trail-2019-1855541,2019,Nissan,X-Trail
Volkswagen Tiguan Allspace 2019,19900,57000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/volkswagen-tiguan-allspace-2019-1863322,2019,Volkswagen,Tiguan Allspace
Bmw 535-I 2012,13900,99000,Automática,Gasolina,https://neoauto.com/auto/usado/bmw-535-i-2012-1847566,2012,Bmw,535-I
Ford Ranger Limited 2022,34900,38000,Automática,Diesel,https://neoauto.com/auto/usado/ford-ranger-limited-2022-1858421,2022,Ford,Ranger Limited
Toyota Etios 2022,10900,67000,Mecánica,Gas GNV,https://neoauto.com/auto/usado/toyota-etios-2022-1863439,2022,Toyota,Etios
Nissan X-Trail 2024,26500,36000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/nissan-x-trail-2024-1827929,2024,Nissan,X-Trail
Jeep Compass 2025,35900,26,Automática,Gasolina,https://neoauto.com/auto/usado/jeep-compass-2025-1859284,2025,Jeep,Compass
Haval All New H6 2022,16900,57310,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/haval-all-new-h6-2022-1863031,2022,Haval,All New H6
Bmw 218i Gran Coupe 2020,22900,49000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-218i-gran-coupe-2020-1864035,2020,Bmw,218i Gran Coupe
Ford Explorer 2018,28000,66500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/ford-explorer-2018-1852361,2018,Ford,Explorer
Mercedes Benz Gla 200 2023,40990,4500,Automática,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-gla-200-2023-1860472,2023,Mercedes,Benz Gla 200
Bmw 335i 2012,16000,110000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-335i-2012-1856810,2012,Bmw,335i
Bmw 520-I 2018,22500,68500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-520-i-2018-1862207,2018,Bmw,520-I
Jeep Grand Cherokee Laredo 2018,21710,63000,Automática,Gasolina,https://neoauto.com/auto/usado/jeep-grand-cherokee-laredo-2018-1863092,2018,Jeep,Grand Cherokee Laredo
Toyota Rav4 2016,16900,168000,Automática - Secuencial,Gas GNV,https://neoauto.com/auto/usado/toyota-rav4-2016-1856242,2016,Toyota,Rav4
Ford Explorer 2025,66900,8700,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/ford-explorer-2025-1861588,2025,Ford,Explorer
Volkswagen New Beetle 2015,15250,73500,Automática,Gasolina,https://neoauto.com/auto/usado/volkswagen-new-beetle-2015-1840899,2015,Volkswagen,New Beetle
Mazda 3 2015,14900,66000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mazda-3-2015-1863317,2015,Mazda,3
Land Rover Defender 1998,34000,258000,Mecánica,Diesel,https://neoauto.com/auto/usado/land-rover-defender-1998-1858125,1998,Land,Rover Defender
Porsche 928 1986,61500,112744,Automática,Gasolina,https://neoauto.com/auto/usado/porsche-928-1986-1861110,1986,Porsche,928
Audi A7 2014,22500,60200,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-a7-2014-1861960,2014,Audi,A7
Suzuki Kizashi 2013,8950,73029,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/suzuki-kizashi-2013-1863864,2013,Suzuki,Kizashi
Nissan Qashqai 2018,16300,63200,Mecánica,Gasolina,https://neoauto.com/auto/usado/nissan-qashqai-2018-1859393,2018,Nissan,Qashqai
Citroen C5 Aircross 2023,22500,800,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/citroen-c5-aircross-2023-1863600,2023,Citroen,C5 Aircross
Mahindra Pik Up 2018,10500,118000,Mecánica,Diesel,https://neoauto.com/auto/usado/mahindra-pik-up-2018-1859998,2018,Mahindra,Pik Up
Ssangyong Actyon 2010,5990,129000,Mecánica,Gasolina,https://neoauto.com/auto/usado/ssangyong-actyon-2010-1856376,2010,Ssangyong,Actyon
Nissan Tiida 2013,8500,66500,Mecánica,Gasolina,https://neoauto.com/auto/usado/nissan-tiida-2013-1862777,2013,Nissan,Tiida
Subaru Forester 2015,13999,113900,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/subaru-forester-2015-1859314,2015,Subaru,Forester
Nissan Tiida 2011,6500,270000,Mecánica,Gas GLP,https://neoauto.com/auto/usado/nissan-tiida-2011-1857118,2011,Nissan,Tiida
Peugeot 2008 2023,16800,10700,Automática - Secuencial,Dual,https://neoauto.com/auto/usado/peugeot-2008-2023-1863193,2023,Peugeot,2008
Bmw X5 35i 2016,25000,89900,Automática,Gasolina,https://neoauto.com/auto/usado/bmw-x5-35i-2016-1854456,2016,Bmw,X5 35i
Maserati Ghibli 2019,57900,10000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/maserati-ghibli-2019-1864042,2019,Maserati,Ghibli
Kia Sorento 2011,11200,257000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/kia-sorento-2011-1856438,2011,Kia,Sorento
Bmw X4 30i 2023,59900,11800,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-x4-30i-2023-1849169,2023,Bmw,X4 30i
Land Rover Range Rover Sport 2023,125000,3500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/land-rover-range-rover-sport-2023-1863796,2023,Land,Rover Range Rover Sport
Jeep Compass Sport 2022,19990,39000,Automática,Gasolina,https://neoauto.com/auto/usado/jeep-compass-sport-2022-1858683,2022,Jeep,Compass Sport
Subaru Impreza 2017,13800,64300,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/subaru-impreza-2017-1852315,2017,Subaru,Impreza
Peugeot 2008 2023,15990,45000,Mecánica,Gasolina,https://neoauto.com/auto/usado/peugeot-2008-2023-1856360,2023,Peugeot,2008
Bmw X5 M50i 2021,68500,22500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-x5-m50i-2021-1860594,2021,Bmw,X5 M50i
Toyota Land Cruiser Prado 2017,39000,66933,Mecánica,Gasolina,https://neoauto.com/auto/usado/toyota-land-cruiser-prado-2017-1863897,2017,Toyota,Land Cruiser Prado
Ford F-250 Lariat Super Duty 2025,198000,50,Automática - Secuencial,Diesel,https://neoauto.com/auto/usado/ford-f-250-lariat-super-duty-2025-1861533,2025,Ford,F-250 Lariat Super Duty
Mazda 3 2019,15500,57298,Automática,Gasolina,https://neoauto.com/auto/usado/mazda-3-2019-1856987,2019,Mazda,3
Bmw 318i 2018,17200,65000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-318i-2018-1846957,2018,Bmw,318i
